"id","name","description","style_id","glass_id","glass_name","label","availability_id","availability_name","is_organic"
"JaS6T7","Torpedo Extra IPA","Sierra Nevada Torpedo is a big American IPA; bold, assertive, and full of flavor highlighting the complex citrus, pine, and herbal character of whole-cone American hops.


Around here, we take hops pretty seriously, which is why we werent satisfied with the standard method of dry hopping for our first year-round IPA. We spent years tinkering, tasting, and tweaking ways to get the biggest and best hop flavors and aromas into our beer.

Our persistence has paid off. Our obsession with harnessing huge hop flavor led to the development of what we call the hop torpedo, a revolutionary method of dry-hopping designed, built, and debuted here at the brewery. Our torpedo is a sleek, stainless-steel piece of hardware that delivers more pure hop aroma than any method of dry-hopping weve ever seen. Like all our beers, Torpedo Extra IPA uses only the best whole-cone hops possible making this delicious ale worth the wait.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/JaS6T7/upload_N0oKdu-large.png","1","Year Round","N"
"cG83LQ","UFO White","Light, crisp, refreshing UFO White follows in the tradition of spiced wheat beers that have been brewed in Belgium for well over 300 years. Brewed with orange peel and a unique blend of spices, UFO White is the perfect choice for a summers barbecue, a night out with friends or any time you1re thirsting for something a little different. Like UFO Hefeweizen and UFO Raspberry Hefeweizen, we leave UFO White UnFiltered for a more natural taste and appearance.

UPC 04182790036/12oz","65","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/cG83LQ/upload_sa4dnu-large.png","","","N"
"GyhwBd","Humming Ale","This bold, frothy, effervescent ale, with hints of citrus, finds its name throughout English literature that might just as well describe its taste, its history, or just how it makes you feel.

The recipe for Humming  Ale and its resulting flavor, owe much to the traditional methods used to make our Liberty Ale. Both are brewed using pale malt, a natural carbonation process called bunging, and dry-hopping, but the unique flavor profile of Humming comes from a distinctive hop from New Zealand called Nelson Sauvin.

Humming is an ancient beer term, found everywhere from Robin Hood to Herman Melville, used to describe a strong, effervescent ale with a lot of character or just in praise of a truly good beer. Originally created to celebrate our 30th anniversary of our Mariposa Street location, it is now available each July  November, Humming has quickly become a classic that lives up to its name. Anchor Humming  Ale, a beer with character deserves a name with character.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/GyhwBd/upload_QDIGCG-large.png","7","Fall","N"
"Uiol9p","Anchor Steam","Anchor Steam Beer owes its deep amber color, thick, creamy head, and rich, distinctive flavor to a brewing process like none other.

It is a process that combines deep respect for brewing tradition with many decades of evolution to arrive at a unique approach: a blend of pale and caramel malts, fermentation with lager yeast at warmer ale temperatures in shallow open-air fermenters, and gentle carbonation in our cellars through an all-natural process called krausening.

Anchor Steam Beer derives its unusual name from the 19th century when steam was a nickname for beer brewed on the West Coast of America under primitive conditions and without ice. While the origin of the name remains shrouded in mystery, it likely relates to the original practice of fermenting the beer on San Franciscos rooftops in a cool climate. In lieu of ice, the foggy night air naturally cooled the fermenting beer, creating steam off the warm open pans. Once a nickname for any West Coast beer brewed under these conditions, today the name steam is a trademark of Anchor Brewing and applies only to the singular process and taste of our flagship brand - San Franciscos original Anchor Steam Beer. The classic of American brewing tradition since 1896.","110","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Uiol9p/upload_drOw0u-large.png","1","Year Round","N"
"5ZeTFl","Liberty Ale","The champagne-like bubbles, distinctive hop bouquet, and balanced character of Liberty Ale revives centuries-old ale brewing traditions that are now more relevant than ever. First introduced in 1975, Liberty Ale is brewed strictly according to traditional brewing methods, and uses only natural ingredients  pale malted barley, fresh whole-cone Cascade hops and a special top-fermenting yeast, and water.

The yeast used during fermentation produces many of Liberty Ale's subtle flavors and characteristics. A natural process called ""bunging"" creates gentle carbonation, and the practice of dry hopping (adding fresh hops to the brew during aging), revived by Anchor, creates its unique aroma.

Liberty Ale was first brewed to celebrate the bicentennial of Paul Reveres historic ride. As the first modern American IPA brewed after prohibition and the first modern American single-hop ale and dry-hopped ale, Anchors Liberty Ale is the original craft brewed ale and the beer that started a revolution.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/5ZeTFl/upload_3sVpMj-large.png","1","Year Round","N"
"dleKhW","Long Hammer IPA","The distinctive India Pale Ale style was developed by British brewers in the 1700s in order to create a sturdy beer that could survive long sea journeys to far-flung colonies where troops eagerly awaited the arrival of this sublime liquid refreshment. Long Hammer takes the traditional IPA brewing process one step further by dry hopping, or adding hops at the end of the brewing process with Cascade hops to give a wonderful hop aroma but not the overpowering hop taste. Long Hammer IPA is the beer you find yourself reaching for again and again, no matter what the occasion.

Long Hammer pairs nicely with grilled meats, seafood, Mexican, Indian, Thai or other spicy ethnic foods.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/dleKhW/upload_6cxTVT-large.png","1","Year Round","N"
"hWi4H5","Amber","Amber is a Munich style lager brewed with crystal malt and Perle hops. It has a smooth, malty, slightly caramel flavor and a rich amber color. Abita Amber was the first beer offered by the brewery and continues to be our leading seller. Amber is Abitas most versatile beer for pairing with food. It has been voted ""best beer"" in numerous New Orleans reader polls and is used frequently in recipes of great Louisiana chefs.

Because of its smooth, malty flavor, try it with smoked sausages, Louisiana boudin, or even with caviar. Its great with crawfish and Cajun food. You might also enjoy it paired with a spicy gumbo or tomato-based pasta sauce. It goes well also with fried catfish dipped in a tart, lemony tartar sauce. Parmesan, Pecorino and Romano cheeses are good pairings with Abita Amber.","78","Pilsner","Pilsner","http://s3.amazonaws.com/brewerydbapi/beer/hWi4H5/upload_co8n9j-large.png","1","Year Round","N"
"DUaY4t","Turbodog","Abita Turbodog is a dark brown ale brewed with Willamette hops and a combination of British pale, crystal and chocolate malts.

This combination gives Turbodog its rich body and color and a sweet chocolate-toffee like flavor. Turbodog began as a specialty ale but has gained a huge loyal following and has become one of our three flagship brews.

Just a bit stronger than our other brews, so . . .beware of the dog!","37","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/DUaY4t/upload_zanEv4-large.png","1","Year Round","N"
"K420Iz","Amber Tradition","Amber Tradition","61","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/K420Iz/upload_Y88Lpq-large.png","1","Year Round","N"
"YsDJeg","Morimoto Soba Ale","The delicate flavor of our roasted Soba brings a nutty finish to this light and refreshing ale. A perfect accompaniment to lighter cuisine.

The Morimoto Soba Ale is part of the new Signature Series of Rogue Ales, launched in the Spring of 2003 with internationally acclaimed Chef Masaharu Morimotoa James Beard awarded chef and one of the stars of the Food Network series, Iron Chef.
 
Soba (also known as buckwheat) is not a type of wheat but a member of the rhubarb family and has been a longtime staple of Japanese cuisine because of its nutritional value. Buckwheat is high in potassium, phosphorous, vitamin B (50 percent more than wheat) and protein, and its virtually fat-free. The fruits of the buckwheat plant are like small beechnuts, which are milled to separate the edible groats from the dark brown hulls. The groats are then roasted and used more or less like a grain (a good example is Kasha).","125","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/YsDJeg/upload_2cyoxd-large.png","4","Seasonal","N"
"hv2tCN","Morimoto Black Obi Soba","A richer version of our Soba Ale with the addition of specialty malts and a special blend of hops to give it a fuller, nutty flavor while retaining a clean, crisp finish.

Black Obi Soba Ale is dedicated to Phred Kaufmann, Rogues Distributor in Japan for the past decadean International Rogue who runs Beer Inn Mugishutei in the city of Sapporo.","125","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/hv2tCN/upload_tPaKz9-large.png","4","Seasonal","N"
"W9KD8O","Session Premium Lager","Original Session, with the bright red label, is a classic all-malt pre-Prohibition style lager that reminds us of what American lagers used to taste like. It's flavorful, refreshing, and has a touch of that import-style taste. (Which, once upon a time, you didn't have to buy an ""import"" to get.) Oh, and it comes in a stubby, 11-oz bottle like your grandpa used to buy. So after your next session (surf, jam, gab, whatever), crack open a Session and drink to the good old new days.
 
Named World's Best Premium Lager at the World Beer Awards and winner of a slew of other shiny trophies, Session has truly earned itself a place at the bar. Not to mention the barbeque.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/W9KD8O/upload_776fFG-large.png","1","Year Round","N"
"1P45iR","Budweiser","Budweiser is a 5.0% abv pale lager introduced in 1876 by Adolphus Busch and one of the highest selling beers in the United States. It is made with up to 30% rice in addition to hops and barley malt. Budweiser is produced in various breweries located around the United States and the rest of the world. It is a filtered beer available in draught and packaged forms.","94","Pint","Pint","","1","Year Round","N"
"SaQFBA","Bud Ice Light","Introduced in 1994.","97","","","","","","N"
"AUl65m","Michelob Light","\Michelob Light is a full-flavored and rich-tasting light lager offering a malty sweetness and aromatic hop profile""""""""","94","","","","","","N"
"JXafdT","Michelob Original Lager","Michelob is a malty and full-bodied lager with an elegant European hop profile.","97","","","","1","Year Round","N"
"MzoCPz","Bud Light Lime","Exactly what it says, Bud Light and Lime. Brewed in Georgia.","94","Pint","Pint","","1","Year Round","N"
"qGhR1j","Bud Ice","Actually an Ice Lager. Introduced in 1984.","97","","","","","","N"
"eW9IJb","Budweiser Chelada","A mix of Budweiser and Clamato cocktail makes up this Latin favorite.","93","Pint","Pint","","1","Year Round","N"
"G2Vi1J","Budweiser Select","Bud Select is a new beer offering a bold taste with a full and distinct flavor that finishes clean. Budweiser Select was developed using two-row and roasted specialty malts for a rich color. It offers excellent drinkability and a taste that does not linger.","94","Pint","Pint","","","","N"
"efwhXc","Blackened Voodoo","Inspired by old-world brewing methods, this bewitching all-malt brew is a darkly rich, exotic lager, crafted with a touch of magical New Orleans spirit.","97","","","","","","N"
"30zzKy","Busch Light","Busch Light is brewed with a blend of premium American-grown and imported hops and a combination of malt and corn to provide a pleasant balanced flavor. Busch Light was introduced in 1989, and has many of the same smooth, and easy-drinking taste qualities as Busch, but undergoes a longer brewing process that produces a lighter body and fewer calories.","94","Pint","Pint","","1","Year Round","N"
"QhHBBX","Busch","Since being introduced regionally in 1955, the Busch beer brand family has grown to become one of the top-selling value beer brand families. Busch Bavarian was the first beer brand Anheuser-Busch introduced following the repeal of Prohibition. Mainly introduced for consumers in the Midwest and Southeast, Busch dropped Bavarian from its name when it went national in 1979.","93","Pint","Pint","","1","Year Round","N"
"5ue4ah","Summerfest","Our Summerfest is a refreshing, pilsner-style lager. Its incredible smoothness comes from an extra-long lagering period. Lighter in body than our ales but just as complex in character, Summerfest quenches your thirst with big aroma and a tangy hop bite.","75","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/5ue4ah/upload_7MUZBb-large.png","6","Summer","N"
"qUIYuC","Bigfoot","Our award-winning barleywine boasts a dense, fruity bouquet, an intense flavor palate and a deep reddish-brown color. Its big maltiness is superbly balanced by a wonderfully bittersweet hoppiness.","17","Snifter","Snifter","http://s3.amazonaws.com/brewerydbapi/beer/qUIYuC/upload_Vp20qM-large.png","2","Limited","N"
"JVv3qI","Kellerweis","Kellerweis is one of the only American Hefeweizens made using the traditional Bavarian style of open fermentation. This difficult and labor-intensive technique adds uncommon depth and flavor complexity. Our hazy-golden hefeweizen is deeply flavorful, refreshing and perfect for a sunny day. To serve, pour two-thirds into a glass, swirl and pour the rest.","48","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/JVv3qI/upload_fq4ULX-large.png","1","Year Round","N"
"UZkfuB","Estrella Damm Daura","Estrella means star in Spanish and as its name suggests the brand has become a star to the people of Barcelona. It has evolved with the city reflecting its character - sophisticated and passionate yet at the same time relaxed and welcoming.","97","Pint","Pint","","1","Year Round","N"
"hZnkdm","Samuel Adams Porch Rocker","Perfect for any summer day, Samuel Adams Porch RockerTM was inspired by traditional Bavarian Radlers that mix beer with German-style lemonade. Our bright and citrusy Radler is a Helles beer with a fresh-squeezed lemon taste, effervescent sweetness, and slightly tart, refreshing finish. A light malt character and hint of hops balance out this satisfying summer brew.","78","Pint","Pint","","4","Seasonal","N"
"P6lM8W","Samuel Adams Whitewater IPA","We love hops at Samuel Adams, and while we enjoy traditional IPAs, we thought we might spice things up a little bit, literally, by combining the intense hop character of an IPA with the crisp spicy wheat character of a Belgian-style white ale. The resulting fusion-style brew is Samuel Adams Whitewater IPA. The white ale and IPA combination make this crisp, smooth, yet hop-friendly beer the perfect pairing with a variety of meats and cheeses. Intensely flavored and firm in texture, Blue cheeses need a bold beer like Whitewater IPA to cleanse the palate. The brew's strong hop character also adds an earthiness to the savory flavor of meat.","30","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/P6lM8W/upload_Qw1oZp-large.png","1","Year Round","N"
"TZFee5","Samuel Adams Imperial Stout","A massive beer once brewed for royalty.

Samuel Adams Imperial Stout is our take on the traditional Russian imperial stouts from the 18th century.  While this style originated in England, American craft brewers have embraced the style and taken it to whole new level of flavor and complexity.  We think we raised the bar again.  Samuel Adams Imperial Stout is a massive beer filled with big, dark flavors.  It has been a brewery favorite in recent years and we are excited to share this intense brew with you.

Due to legal restrictions, Samuel Adams Imperial Stout is not offered in the states of Idaho, Mississippi and South Carolina.","43","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/TZFee5/upload_CxHzoa-large.png","1","Year Round","N"
"Y8Ar6h","Miller Genuine Draft","Miller Genuine Draft debuted in 1985 with fresh, smooth flavor that's a result of being cold-filtered four times. As we capitalize on the growing trend towards mainstream sophistication  MGD is a brand that celebrates their experiences ... past,  present,  and future. Because,  ultimately  in beer as in life,  Experience is Golden.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/Y8Ar6h/upload_r6bhFI-large.png","1","Year Round","N"
"KJIjyd","Miller Lite","Our flagship brand, Miller Lite, is the great tasting, less filling beer that defined the American light beer category in 1975. We deliver a clear, simple message to consumers: Miller Lite is the better beer choice. What's our proof?","94","Pilsner","Pilsner","http://s3.amazonaws.com/brewerydbapi/beer/KJIjyd/upload_5V1LIt-large.png","1","Year Round","N"
"yagN3u","Miller Genuine Draft 64","A lighter version of the regular Miller Genuine Draft Light with a 2.8% abv, also known as ""MGD 64""","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/yagN3u/upload_4l6DLm-large.png","1","Year Round","N"
"mGMxmW","Molson Canadian","Molson beers are imported directly from Canada.  Crystal-clear, pure Canadian water, the finest Canadian prairie grains and select European hops give Molson a brewing heritage that dates back to 1786.

Molson Canadian is Molson Brewing Company's flagship brand.  Starting with crystal clear water, malted barley and the finest hops, Molson Canadian is slowly fermented to produce a smooth, refreshing beer with a genuine taste. Clean and clear, crisp and cold, Molson Canadian is a classic lager.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/mGMxmW/upload_6LMsDB-large.png","1","Year Round","N"
"ujPz4L","Corona Extra","Corona Extra is the number-one selling beer in Mexico and the leading export brand from Mexico. This pilsener type beer was first brewed in 1925 by Cerveceria Modelo, located in Mexico City.","97","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/ujPz4L/upload_vU73kW-large.png","1","Year Round","N"
"UI6I9b","Samuel Adams Hefeweizen","Unfiltered wheat ale, fruity, bright, with a crisp flavor of wheat.  Samuel AdamsA Hefeweizen beer is a traditional spin on a classic American craft brewing style. The brewers of Samuel AdamsA used both malted and unmalted wheat, and two row Pale barley for a clean malty, cereal note. This bright, fruity wheat ale is unfiltered, retaining a natural haze from malt proteins, crisp, bright flavors of wheat, and fresh, fruity ester complexity from our proprietary ale yeast. Accentuated with Noble Spalt-Spalter hops, Samuel AdamsA Hefeweizen has an elegant and pleasant bitterness, finishing smooth and clean.","48","","","","","","N"
"WV1ql5","Samuel Adams Black Lager","Our brewers interpretation of a traditional German schwarzbier.

When one sees a beer with a darker complexion these days, more often than not its a porter or a stout. But looks can be deceiving. There exists a style older than both and generally less well known; the schwarzbier, which literally translates to Black Beer. Unlike its dark cousins which are ales hailing from Britain, schwarzbier comes from Germany and uses a bottom fermenting lager yeast.  Samuel Adams Black Lager is brewed in the tradition of the latter. A medium bodied beer brewed using several different roasts of malt to create a smooth body and depth of malt character that has to be tasted to be believed.","84","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/WV1ql5/upload_MxBJJD-large.png","1","Year Round","N"
"pDKyvz","Pabst Blue Ribbon","PBR is not just any beer- so you would expect the history to be a bit unusual, and it is. Pabst was originally called Select with the can opener. Today  this classic American brew has been adopted by a whole new generation of PBR drinkers. Currently PBR is one of the fastest growing domestic beer brands. When you're this good quality always comes through-PBR ME ASAP!","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/pDKyvz/upload_NiwOju-large.png","1","Year Round","N"
"z77hjQ","Allagash Black","Allagash Black is a Belgian style stout brewed with 2 Row barley, torrified wheat, oats, both roasted and chocolate malt and a generous portion of dark caramelized candi sugar. The silky mouth feel is a great balance to the roasted character, coffee and dark chocolate notes expressed throughout this beer.","70","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/z77hjQ/upload_iwgh4U-large.png","1","Year Round","N"
"3SvZ4H","American Amber Ale","Tawny amber in color with a coffee aroma and tight head. A delicate roasted malt accent, generous use of hops and a smooth finish. 

American Amber, originally known as Ashland Amber (created at Rogues original brewpub in Ashland, Oregon which was destroyed by flooding several years ago).","32","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/3SvZ4H/upload_jVJP9V-large.png","1","Year Round","N"
"qxsSk4","Mocha Porter","Dedicated to the chocolate lover in each of us. Mocha Porter was once known as New Porter, in honor of the town of Newport, Oregon and home of Rogue Ales. The January/February 1995 issue of Mens Health magazine features a bottle of Rogue New Porter (todays Mocha Porter) in the Fifth Annual Collection of Good Advise, Health News, Dire Warnings, Notable Folks and Unsolicited Opinion. New Porter is described as the Best New Beer for 1994! The caption reads: Oha bittersweet balance of malt and hops with a light cream finish. Mocha Porter is made from Northwest Harrington and Klages; 135-165, 95-115 and 70-80 Crystal; Beeston Chocolate Black Munich and Carastan malts. Perle and Centennial hops. Mocha Porter is available in a 12-ounce 6-pack the classic 22-ounce bottle and on draft.","18","","","","","","N"
"AOYRfm","Excelsior! Le Bleu","Brewed with New York State Blueberries and Brettanomyces, Le Bleu is a blend of barrels filled in 2007, 2008, and 2009. It's finished in the bottle with Champagne yeast.   

Enjoy the dusty rose appearance, mouthwatering aroma of ripe berries, piquant flavor and quick finish.","119","Tulip","Tulip","http://s3.amazonaws.com/brewerydbapi/beer/AOYRfm/upload_Z6SAEJ-large.png","2","Limited","N"
"IzTjAm","HopDevil","Menacingly delicious, with the powerful, aromatic punch of whole flower American hops backed up by rich, German malts. HopDevil Ale offers a roller coaster ride of flavor, coasting to a smooth finish that satisfies fully.","30","Weizen","Weizen","http://s3.amazonaws.com/brewerydbapi/beer/IzTjAm/upload_ZMCh7G-large.png","1","Year Round","N"
"4M26ru","Storm King Imperial Stout","With a huge, Pacific Northwest hop aroma & character upfront, Storm King subsides into massive, roast malt complexity. More flavor than mere words can adequately describe. Rich and substantial, it will warm your heart.","43","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/4M26ru/upload_jqtDl1-large.png","1","Year Round","N"
"K2qBGW","Guinness Extra Stout","Guinness Extra Stout is steeped in heritage - a whole costume drama in a bottle. It","42","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/K2qBGW/upload_2sKeq0-large.png","1","Year Round","N"
"voS2xG","Miller High Life","Miller High Life, the champagne of beers  smooth taste and classic clear-glass bottle. Miller High Life embraces its rich heritage and is positioned as common sense in a bottle. Its drinkers know Miller High Life is an authentic  unpretentious beer. As the best beer value in America  we encourage our target consumers to ""Celebrate the High Life.","94","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/voS2xG/upload_5kZ2uk-large.png","1","Year Round","N"
"zAhAqp","Black Lighting","This medium-bodied, 6.4% abv American Black Ale strikes a stormy balance between thunderous roasted malt flavor and the aroma, bitterness, and electrifying finish of American hops. Theres a storm brewing; get ready to ride the lightning!","125","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/zAhAqp/upload_1J5VFU-large.png","1","Year Round","N"
"7cnuJq","Ruination IPA","So called because of the ""ruinous"" effect on your palate! This massive hop monster has a wonderfully delicious and intensely bitter flavor on a refreshing malt base. One taste and you can easily see why we call this brew ""a liquid poem to the glory of the hop!"" Those who seek, crave and rejoice in beers with big, bold, bitter character will find true nirvana in Stone Ruination IPA!","31","Snifter","Snifter","http://s3.amazonaws.com/brewerydbapi/beer/7cnuJq/upload_aC4vUP-large.png","1","Year Round","N"
"rrSnIP","Stone Smoked Porter","Stone Smoked Porter is dark, rich and complicated. A porter is substantially darker than a pale ale, but not as black or opaque as a stout. Our Smoked porter has a captivatingly deep mahogany color, complimented by silky dark tan head. Rich, full bodied and robust. Smooth, with chocolate and coffee-like flavors balanced by the subtle smoky character of just the right amount of peat-smoked specialty malt.","18","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/rrSnIP/upload_7FsnM4-large.png","","","N"
"rMvJx7","He'Brew Genesis Ale","Crisp, smooth and perfectly balanced between a west coast style pale and amber ale, with a supple malt sweetness and a pronounced hop flourish.

Malts: 2-row, Caramel 40L, Dark Crystal, Munich, Wheat
Hops: Warrior, Northern Brewer, Willamette","32","Pint","Pint","","","","N"
"qlwwem","Arrogant Bastard Ale","Arrogant Bastard Ale is an American strong ale. It is marketed by warning potential consumers that they are ""not worthy"" of such a beer. It is a popular beer among craft beer aficionados. Local designer/illustrator Thomas K. Matthews created the original gargoyle in 1996. He also drew the Arrogant Bastard Ale, Stone Ruination IPA and Stone Levitation Ale gargoyles, as well as barley and hops motifs.","25","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/qlwwem/upload_IZunS7-large.png","1","Year Round","N"
"rAHla4","Centennial IPA","Selected as a benchmark for the Beer Judge Certification Program used in all American based beer judging. Centennial IPA has quickly become the IPA of choice. Pour yourself a pint of this complex flavorful ale and bask in the frothy head's floral bouquet. Relish the immense citrus accents, achieved by the abundance of dry hopping. This ale's sweet, malty undertones balance the hop character with a finish that never turns too bitter.","30","","","http://s3.amazonaws.com/brewerydbapi/beer/rAHla4/upload_volsG7-large.png","1","Year Round","N"
"0kkUpk","Kentucky Breakfast Stout","What weve got here is an imperial stout brewed with a massive amount of coffee and chocolates, then cave-aged in oak bourbon barrels for an entire year to make sure wonderful bourbon undertones come through in the finish. Makes your taste buds squeal with delight.","43","Pint","Pint","http://s3.amazonaws.com/brewerydbapi/beer/0kkUpk/upload_U0LD97-large.png","2","Limited","N"
